,ROI,Original,Hausdorff_ROI,Hausdorff_Original
Case-0239,0.934851549745582,0.9336829311436871,-1.0,-1.0
Case-0240,0.911943241477754,0.913412170302682,-1.0,-1.0
Case-0241,0.8451129988610568,0.8539953850098282,-1.0,-1.0
Case-0242,0.9447124848156736,0.935088396841744,-1.0,-1.0
Case-0243,0.913881094558056,0.9132093466857416,-1.0,-1.0
Case-0244,0.9264841625971012,0.8967535135415241,-1.0,-1.0
Case-0245,0.932573724372444,0.924338203485857,-1.0,-1.0
Case-0246,0.9095938885802638,0.9042708050627914,-1.0,-1.0
Case-0247,0.916870057877704,0.9091591836734694,-1.0,-1.0
Case-0248,0.9117811545454176,0.9100574817186308,-1.0,-1.0
Case-0249,0.9332554016186678,0.9263393431238908,-1.0,-1.0
Case-0250,0.9239713555411456,0.9216583542047104,-1.0,-1.0
Case-0251,0.9369931460376868,0.9284356891452432,-1.0,-1.0
Case-0252,0.929438113088508,0.9197240306742884,-1.0,-1.0
Case-0253,0.8876772835934832,0.8799918697613194,-1.0,-1.0
Case-0254,0.9086930472550324,0.8927918549738486,-1.0,-1.0
Case-0255,0.9160741537588628,0.911125643489738,-1.0,-1.0
Case-0256,0.9220694950983668,0.9266827160250212,-1.0,-1.0
Case-0257,0.8650186479431758,0.8532085262606711,-1.0,-1.0
Case-0258,0.91634013662654,0.9037746891002194,-1.0,-1.0
Case-0259,0.937021309256545,0.9289765388978112,-1.0,-1.0
Case-0260,0.9055539055539056,0.9004677315862348,-1.0,-1.0
Case-0261,0.8968043079113467,0.8972227444871209,-1.0,-1.0
Case-0262,0.9113066881073834,0.9027975782710931,-1.0,-1.0
Case-0263,0.8938233211524297,0.8872868317041487,-1.0,-1.0
Case-0264,0.90471251856463,0.9048578730888672,-1.0,-1.0
Case-0265,0.9352234574438923,0.9315409269196636,-1.0,-1.0
Case-0266,0.9096052671527276,0.9033559579769904,-1.0,-1.0
Case-0267,0.8831487952481688,0.8882078503249149,-1.0,-1.0
Case-0268,0.8337766560798548,0.8281304575619979,-1.0,-1.0
Case-0269,0.9393798566328216,0.9375296643688552,-1.0,-1.0
Case-0270,0.8542781224844526,0.8635653080129689,-1.0,-1.0
Case-0271,0.8968552755922395,0.8992008717762441,-1.0,-1.0
Case-0272,0.9098782723893508,0.9103310243016124,-1.0,-1.0
Case-0273,0.8886438791131632,0.877759169951018,-1.0,-1.0
Case-0274,0.9406289762338272,0.9382158639138082,-1.0,-1.0
Case-0275,0.922257648205022,0.909927079880676,-1.0,-1.0
Case-0276,0.874466169533987,0.8730412574142807,-1.0,-1.0
Case-0277,0.8703346702058267,0.8619450254838995,-1.0,-1.0
Case-0278,0.9176823613973042,0.9113577921842744,-1.0,-1.0
Case-0279,0.8838248730036912,0.8843273299074359,-1.0,-1.0
Case-0280,0.9352065608635218,0.929483980955945,-1.0,-1.0
Case-0281,0.9189494079655544,0.9066898657025868,-1.0,-1.0
Case-0282,0.9099572872070129,0.9016455285534288,-1.0,-1.0
Case-0283,0.9190424490118028,0.9108662994491736,-1.0,-1.0
Case-0284,0.9175434984963484,0.9141484664362772,-1.0,-1.0
Case-0285,0.9273429722896628,0.9199272701842722,-1.0,-1.0
Case-0286,0.9359605226280308,0.9286848218895198,-1.0,-1.0
Case-0287,0.9214833155887552,0.9166716042067842,-1.0,-1.0
Case-0288,0.9279468227127762,0.9179754012245046,-1.0,-1.0
Case-0289,0.9505447627199316,0.9409532853043784,-1.0,-1.0
Case-0290,0.9234205065285224,0.9188275601287942,-1.0,-1.0
Case-0291,0.8654841219707792,0.8473572108027627,-1.0,-1.0
Case-0292,0.864366558691701,0.8665724381625441,-1.0,-1.0
Case-0293,0.9008080095855854,0.8964102638048752,-1.0,-1.0
Case-0294,0.9496724522310714,0.9452263473590474,-1.0,-1.0
Case-0295,0.9292494282189342,0.9198778398768016,-1.0,-1.0
Case-0296,0.9348674360854012,0.9262553224888644,-1.0,-1.0
Case-0297,0.8964842116581642,0.8819154050597316,-1.0,-1.0
Case-0300,0.8808980950456895,0.8795792858800517,-1.0,-1.0
Case-0301,0.9121889309636344,0.914227393912464,-1.0,-1.0
Case-0302,0.9448872718281128,0.9389782688061136,-1.0,-1.0
Case-0303,0.9197197409349034,0.9080587594394559,-1.0,-1.0
Case-0304,0.9172151739731188,0.9107233502538072,-1.0,-1.0
Case-0305,0.8902339807024783,0.8847937342720615,-1.0,-1.0
Case-0306,0.9295226036957194,0.9230336295708664,-1.0,-1.0
Case-0307,0.9146616989294618,0.9077753929239076,-1.0,-1.0
Case-0308,0.8910596710015873,0.8865973602625077,-1.0,-1.0
Case-0309,0.9171812983619584,0.8998281365087158,-1.0,-1.0
Case-0310,0.8976526863772188,0.8920345583025087,-1.0,-1.0
Case-0311,0.9356833517212202,0.9356618775710691,-1.0,-1.0
Case-0312,0.9457300668638372,0.9410142923005994,-1.0,-1.0
Case-0313,0.9168006358888736,0.9086358416138214,-1.0,-1.0
Case-0314,0.9059035600135896,0.8943955211985973,-1.0,-1.0
Case-0315,0.9357548245643058,0.9233783118202754,-1.0,-1.0
Case-0316,0.9173366939787796,0.8969582864687758,-1.0,-1.0
Case-0317,0.9047585702196824,0.8995484320059971,-1.0,-1.0
