,ROI,Original,Hausdorff_ROI,Hausdorff_Original
Case-0519,0.918062487080294,0.921416387642934,-1.0,-1.0
Case-0520,0.8957477904365079,0.8808510358456351,-1.0,-1.0
Case-0521,0.9276161883340251,0.9267763125949459,-1.0,-1.0
Case-0522,0.6820084855382451,0.6892702516792102,-1.0,-1.0
Case-0523,0.9277240127883868,0.9322018473859034,-1.0,-1.0
Case-0524,0.8380927334057515,0.8338897348795441,-1.0,-1.0
Case-0525,0.7720838525097976,0.7660836695816521,-1.0,-1.0
Case-0526,0.8733954949767699,0.8758333555739412,-1.0,-1.0
Case-0527,0.8810972626531959,0.8822776232883945,-1.0,-1.0
Case-0528,0.8932030152037818,0.9037774577984744,-1.0,-1.0
Case-0529,0.9151519914083271,0.9171979553378996,-1.0,-1.0
Case-0530,0.8949132870663005,0.8925387463996708,-1.0,-1.0
Case-0531,0.9197026040159504,0.911999093552895,-1.0,-1.0
Case-0532,0.9119357221923846,0.9143050469670436,-1.0,-1.0
Case-0533,0.8538206037962066,0.8608473541007274,-1.0,-1.0
Case-0534,0.846625993642246,0.8549103014610689,-1.0,-1.0
Case-0535,0.879933088202807,0.8796697731694344,-1.0,-1.0
Case-0536,0.9231046019050984,0.9090824099441496,-1.0,-1.0
Case-0537,0.9303084327656445,0.9246463269132436,-1.0,-1.0
Case-0539,0.925439475036762,0.9249830584292243,-1.0,-1.0
Case-0540,0.9174169741697416,0.9269724533901038,-1.0,-1.0
Case-0541,0.7689719515773893,0.7761817860717019,-1.0,-1.0
Case-0542,0.9077697349927168,0.9088411229041476,-1.0,-1.0
Case-0543,0.8571052298874795,0.8595110009671179,-1.0,-1.0
Case-0544,0.8557896727476811,0.8602175391788457,-1.0,-1.0
Case-0545,0.8753489191917573,0.8792698133649502,-1.0,-1.0
Case-0546,0.8971868638559831,0.8988017791763745,-1.0,-1.0
Case-0547,0.9046086436300494,0.9052087840761576,-1.0,-1.0
Case-0548,0.7886730056277581,0.7805428532176711,-1.0,-1.0
Case-0549,0.936343824257716,0.9315937200792204,-1.0,-1.0
Case-0550,0.9174793385252052,0.918491455509723,-1.0,-1.0
Case-0551,0.6812112647214599,0.6983786038854874,-1.0,-1.0
Case-0552,0.8767391897626899,0.8784101015532896,-1.0,-1.0
Case-0553,0.8258073360474658,0.8258130332896528,-1.0,-1.0
Case-0554,0.8962067520767666,0.8909560371329487,-1.0,-1.0
Case-0555,0.8744286973369579,0.8738796414852753,-1.0,-1.0
Case-0556,0.8989978043984413,0.9033983555503432,-1.0,-1.0
Case-0557,0.9195284966935972,0.9178783947026978,-1.0,-1.0
Case-0558,0.8783725387790594,0.8777181361352215,-1.0,-1.0
Case-0559,0.9001020077842102,0.9059929399572512,-1.0,-1.0
Case-0560,0.8391540863859572,0.8413636260606107,-1.0,-1.0
Case-0561,0.8916020708328122,0.8951059320185959,-1.0,-1.0
Case-0562,0.7248039916127726,0.8057855814365423,-1.0,-1.0
Case-0563,0.9277898077378076,0.9307018128499068,-1.0,-1.0
Case-0564,0.9016959048420284,0.9016293291718702,-1.0,-1.0
Case-0565,0.9209424968836746,0.9245766884591188,-1.0,-1.0
Case-0566,0.8544841972735259,0.8570368572518291,-1.0,-1.0
Case-0567,0.9312114428570072,0.9269575459620012,-1.0,-1.0
Case-0568,0.8310819448587378,0.8408575817140893,-1.0,-1.0
AVG,0.8802262320610781,0.8817193595722216,-1.0,-1.0
