,ROI,Original,Hausdorff_ROI,Hausdorff_Original
Case-0511,0.8670481651227884,0.8539859140553231,-1.0,-1.0
Case-0512,0.8891246532969604,0.8858072681251129,-1.0,-1.0
Case-0513,0.9311412245078294,0.926018699210672,-1.0,-1.0
Case-0514,0.7737337270560074,0.7615922172097309,-1.0,-1.0
Case-0515,0.9177889903040908,0.9097438977836659,-1.0,-1.0
Case-0516,0.9216165571871092,0.9205735360011028,-1.0,-1.0
Case-0517,0.8210136643556151,0.8327272141473454,-1.0,-1.0
Case-0518,0.8965135960554881,0.905745115193934,-1.0,-1.0
Case-0519,0.9055250219452816,0.8999814448292924,-1.0,-1.0
Case-0520,0.8944165724944104,0.8757789826184021,-1.0,-1.0
Case-0521,0.8836183235985304,0.8710467813315164,-1.0,-1.0
Case-0522,0.3690959389366538,0.372483336905414,-1.0,-1.0
Case-0523,0.9049491098311296,0.9069083358567288,-1.0,-1.0
Case-0524,0.4234967020925087,0.4284658073997935,-1.0,-1.0
Case-0525,0.4669482755799876,0.4986200159338367,-1.0,-1.0
Case-0526,0.8846205319268428,0.8832783752966193,-1.0,-1.0
Case-0527,0.8655845693916322,0.8722397275668891,-1.0,-1.0
Case-0528,0.8197138085598435,0.8514934354485777,-1.0,-1.0
Case-0529,0.8732161849368647,0.868424119772407,-1.0,-1.0
Case-0530,0.8374733647762834,0.8419703694442708,-1.0,-1.0
Case-0531,0.8726644428705248,0.8616220886281004,-1.0,-1.0
Case-0532,0.9287276949778572,0.9233743409490334,-1.0,-1.0
Case-0533,0.8990481489773611,0.9021608329409304,-1.0,-1.0
Case-0534,0.8896352016207694,0.8922504198688925,-1.0,-1.0
Case-0535,0.7462636112386697,0.738635366388767,-1.0,-1.0
Case-0536,0.8168600335887932,0.8161254456925967,-1.0,-1.0
Case-0537,0.9179751804619464,0.9116357910337162,-1.0,-1.0
Case-0539,0.9295391992414852,0.9236319611018964,-1.0,-1.0
Case-0540,0.4530484485574306,0.3842849067269644,-1.0,-1.0
Case-0541,0.8897365906702638,0.8831450474077063,-1.0,-1.0
Case-0542,0.7951969705594544,0.8008827712670294,-1.0,-1.0
Case-0543,0.443381445936008,0.4434250098069128,-1.0,-1.0
Case-0544,0.889475906872883,0.8858804765925509,-1.0,-1.0
Case-0545,0.8898394007171964,0.8902852502284032,-1.0,-1.0
